Package,Version
abind,1.4-5
ade4,1.7-22
anytime,0.3.9
askpass,1.1
assertthat,0.2.1
backports,1.4.1
base64enc,0.1-3
bestglm,0.37.3
BH,1.81.0-1
biomod2,4.2-2
bit,4.0.5
bit64,4.0.5
brew,1.0-8
brio,1.1.3
broom,1.0.3
bslib,0.4.2
cachem,1.0.7
callr,3.7.3
carData,3.0-5
caret,6.0-93
checkmate,2.1.0
classInt,0.4-9
cli,3.6.0
clipr,0.8.0
colorspace,2.1-0
commonmark,1.8.1
conditionz,0.1.0
corrplot,0.92
cowplot,1.1.1
cpp11,0.4.3
crayon,1.5.2
credentials,1.3.2
crul,1.3
curl,5.0.0
data.table,1.14.8
DBI,1.1.3
deldir,1.0-6
desc,1.4.2
devtools,2.4.5
diffobj,0.3.5
digest,0.6.31
doParallel,1.0.17
doSNOW,1.0.20
dotCall64,1.0-2
downlit,0.4.2
dplyr,1.1.0
e1071,1.7-13
earth,5.3.2
elasticnet,1.3
ellipsis,0.3.2
evaluate,0.20
fansi,1.0.4
farver,2.1.1
fastmap,1.1.1
fields,14.1
fontawesome,0.5.0
foreach,1.5.2
Formula,1.2-5
fs,1.6.1
future,1.31.0
future.apply,1.10.0
gam,1.22-1
gbm,2.1.8.1
generics,0.1.3
geodist,0.0.8
geojsonsf,2.0.3
geometries,0.2.2
geosphere,1.5-18
gert,1.9.2
ggplot2,3.4.1
ggrepel,0.9.3
ggsci,2.9
ggsignif,0.6.4
gh,1.4.0
gitcreds,0.1.2
glmnet,4.1-6
globals,0.16.2
glue,1.6.2
goftest,1.2-3
gower,1.0.1
gridExtra,2.3
grpreg,3.4.0
gtable,0.3.1
gtools,3.9.4
hardhat,1.2.0
hdf5r,1.3.8
here,1.0.1
hexbin,1.28.2
highr,0.10
Hmisc,4.8-0
hms,1.1.2
htmlTable,2.4.1
htmltools,0.5.4
htmlwidgets,1.6.1
httpcode,0.3.0
httpuv,1.6.9
httr,1.4.5
ini,0.3.1
interp,1.1-3
ipred,0.9-13
isoband,0.2.7
iterators,1.0.14
jpeg,0.1-10
jquerylib,0.1.4
jsonify,1.2.2
jsonlite,1.8.4
knitr,1.42
labeling,0.4.2
lars,1.3
later,1.3.0
latticeExtra,0.6-30
lava,1.7.2.1
lazyeval,0.2.2
leaflet,2.1.1
leaflet.extras,1.0.0
leaflet.providers,1.9.0
leaps,3.1
lifecycle,1.0.3
listenv,0.9.0
lmodel2,1.7-3
lubridate,1.9.2
magrittr,2.0.3
mapproj,1.2.11
maps,3.4.1
maptools,1.1-6
markdown,1.5
Matrix,1.5-3
MatrixModels,0.5-1
matrixStats,0.63.0
maxnet,0.1.4
mda,0.5-3
memoise,2.0.1
mime,0.12
miniUI,0.1.1.1
ModelMetrics,1.2.2.2
munsell,0.5.0
ncdf4,1.21
nloptr,2.0.3
numDeriv,2016.8-1.1
oai,0.4.0
oceancolouR,0.0.0.9000
openssl,2.0.5
parallelly,1.34.0
patchwork,1.1.2
