Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4-5,,R (>= 1.5.0),"methods, utils",,,,LGPL (>= 2),,,,,no,4.2.1
ade4,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7-22,,R (>= 2.10),"graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
Rcpp","Rcpp, RcppArmadillo","ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",,GPL (>= 2),,,,,yes,4.2.2
anytime,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.9,,R (>= 3.2.0),Rcpp (>= 0.12.9),"Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",,GPL (>= 2),,,,,yes,4.2.2
askpass,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1,,,sys (>= 2.1),,testthat,,MIT + file LICENSE,,,,,yes,4.2.1
assertthat,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.2.1,,,tools,,"testthat, covr",,GPL-3,,,,,no,4.2.1
backports,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.1,,R (>= 3.0.0),,,,,GPL-2 | GPL-3,,,,,yes,4.2.1
base64enc,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1-3,,R (>= 2.9.0),,,,png,GPL-2 | GPL-3,,,,,yes,4.2.1
bestglm,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.37.3,,"R (>= 3.1.0), leaps","lattice, glmnet, grpreg, pls",,MASS,caret,GPL (>= 2),,,,,yes,4.2.2
BH,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.81.0-1,,,,,,,BSL-1.0,,,,,no,4.2.2
biomod2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,4.2-2,,R (>= 4.1),"stats, utils, methods, terra (>= 1.6-33), sp, reshape,
reshape2, abind, data.table, foreach, ggplot2, nnet, gbm (>=
2.1.3), mda, randomForest, maxnet, rpart, MASS, pROC (>=
1.15.0), PresenceAbsence, earth, dplyr",,"Hmisc, gam, mgcv, car, caret, dismo, ENMeval, doParallel,
raster, ggpubr, testthat, knitr, markdown, tidyterra, ggtext",,GPL-3,,,,,no,4.2.2
